3.95522, 5.24988, 120.533
3.11974, 4.95137, 120.098
2.60685, 6.45248, 127.222
3.79367, 5.41976, 120.676
4.03299, 4.18004, 119.601
3.59889, 5.02403, 120.012
7.61241, 4.08518, 359.542
8.88287, 2.53842, 358.218
5.83909, 7.63273, 239.478
8.0557, 2.57861, 359.052
3.95714, 4.53906, 120.105
7.65008, 3.44104, 359.742
6.17875, 7.10705, 239.994
8.74149, 3.46122, 359.168
6.15873, 7.63095, 239.678
8.40172, 4.53354, 357.5
8.47462, 4.31785, 358.61
3.31195, 4.83836, 120.034
6.26999, 6.29945, 239.695
3.75306, 5.05365, 120.076
6.23426, 7.11847, 239.983
7.02893, 7.22413, 240.501
3.09179, 5.44675, 120.58
3.13727, 4.26166, 119.984
5.76659, 6.61636, 238.822
4.16535, 4.22734, 119.565
6.43888, 6.48529, 239.981
7.14287, 6.98743, 241.15
7.26768, 3.20027, 359.57
4.34154, 4.64206, 120.381
8.07819, 3.80737, 359.979
8.10027, 4.14956, 359.615
6.0663, 6.34864, 239.151
6.32398, 7.05974, 239.969
3.68258, 4.43647, 120.041
7.89406, 3.76449, 359.991
5.37933, 7.00554, 237.597
8.26043, 3.0762, 359.37
2.91691, 5.1624, 120.313
3.28514, 4.77124, 120.047
6.22568, 6.21402, 239.527
6.50585, 7.15739, 239.932
7.74832, 3.82645, 359.93
4.14886, 4.74584, 120.324
7.68208, 5.68599, 290.371
4.00763, 4.81555, 120.218
7.24276, 4.85364, 347.232
7.20941, 3.36438, 359.547
3.07899, 4.64649, 120.097
3.01189, 4.89451, 120.137
8.92574, 3.70839, 358.807
5.50651, 6.86205, 238.138
3.94582, 4.91961, 120.187
4.16318, 4.56061, 120.173
5.94445, 7.04057, 239.931
5.78044, 7.7378, 239.255
4.38841, 7.28347, 216.749
5.37316, 7.54663, 238.188
7.89131, 4.11384, 359.718
2.78327, 5.91875, 122.585
7.58996, 4.34113, 358.553
7.74187, 5.96649, 270.264
8.03264, 3.60332, 359.93
3.56067, 6.26034, 128.151
4.91928, 7.46572, 233.746
4.71541, 4.45218, 119.405
7.21735, 3.15179, 359.601
