inf	1
inf	1
inf	1
inf	1
147.258	0.999993
inf	1
22	0.63079
139.399	0.999986
inf	1
inf	1
inf	1
3.16228	0.236113
10.0499	0.366099
192.575	1
210.556	1
209.499	1
163.811	0.999998
162.684	0.999998
171.846	0.999999
12.3693	0.41618
17.5499	0.532882
2.44949	0.224645
14.2127	0.457311
2	0.217619
209.459	1
220.663	1
238.315	1
14.4568	0.462816
8.83176	0.340842
8.544	0.334999
9.94987	0.363995
6.16441	0.288715
9.48683	0.354323
15.8114	0.493482
3	0.233467
18.4932	0.55412
15.748	0.492045
22.8035	0.647606
6.40312	0.293184
11.225	0.391184
4.12311	0.252202
9.64365	0.357586
2.44949	0.224645
7.81025	0.32033
7	0.304535
3.74166	0.245729
9.53939	0.355415
9.16515	0.347672
15.7797	0.492764
20.7123	0.603181
13.0767	0.431858
12.1655	0.411693
5.09902	0.26927
8.66025	0.337353
12.8841	0.427575
15.8114	0.493482
7.34847	0.311274
9.43398	0.353226
15.0665	0.476598
4.12311	0.252202
10.6301	0.378405
2.44949	0.224645
2.23607	0.221289
4.12311	0.252202
2.44949	0.224645
15.6525	0.489878
9.27362	0.349908
13.1529	0.433557
11.3578	0.39406
9.11043	0.346547
8.3666	0.331422
10.4881	0.375377
10.4881	0.375377
8.30662	0.330216
10.8167	0.382395
9.05539	0.345416
8.12404	0.326562
10.4403	0.374361
2	0.217619
9.21954	0.348793
11.0454	0.387309
8.30662	0.330216
10.4403	0.374361
13.3791	0.438604
14.6969	0.468238
9.48683	0.354323
11.7047	0.401602
15.5885	0.488426
23.0217	0.652113
15.5563	0.487697
7.87401	0.321591
52.3546	0.964105
9.69536	0.358665
60.3738	0.982336
35.6791	0.855342
22.5832	0.643029
4.47214	0.258223
13.3417	0.437768
6.16441	0.288715
15.1327	0.478097
15.8114	0.493482
9.27362	0.349908
14.4568	0.462816
7.68115	0.317784
4.24264	0.254253
17.72	0.536723
14.0712	0.454127
10	0.365049
12.4097	0.41707
21.1187	0.611975
40.0125	0.897562
1.41421	0.208703
14.4568	0.462816
12.083	0.409881
3	0.233467
6	0.28566
18.6011	0.556537
13.3791	0.438604
10.2956	0.371291
9.11043	0.346547
23.6008	0.66394
23.7487	0.666927
25.0998	0.693588
27.2947	0.734223
21.4709	0.619538
10.8167	0.382395
28.3373	0.752274
54.6443	0.970642
7.54983	0.315206
15.0333	0.475846
20.8567	0.606312
20.3224	0.59468
7.54983	0.315206
30.6757	0.789683
20.025	0.588158
6.16441	0.288715
72.8629	0.994245
66.2344	0.989547
69.2459	0.992027
24.5357	0.6826
12.8841	0.427575
26.2488	0.715293
17.5784	0.533525
27.1477	0.731612
30.249	0.783178
54.0555	0.969081
93.5575	0.999116
28.5307	0.755531
19.2094	0.570117
51.2445	0.96045
30.6431	0.789191
32.0936	0.810261
18.4662	0.553514
12.6886	0.423237
3.74166	0.245729
11.4455	0.395962
5.47723	0.276077
12.083	0.409881
18.1384	0.546149
2.23607	0.221289
17.9165	0.541153
8.544	0.334999
10.3441	0.372318
13.9284	0.450915
4.58258	0.260148
9.64365	0.357586
5.74456	0.280953
6.7082	0.298955
14.0712	0.454127
30.4795	0.78671
